Descritpion_ID,Top_20_Image_IDs
0.txt,669.jpg 231.jpg 46.jpg 1992.jpg 1480.jpg 92.jpg 1883.jpg 305.jpg 1262.jpg 742.jpg 294.jpg 981.jpg 1413.jpg 95.jpg 732.jpg 705.jpg 576.jpg 1011.jpg 985.jpg 865.jpg
1.txt,589.jpg 1714.jpg 818.jpg 1753.jpg 1199.jpg 149.jpg 457.jpg 1916.jpg 833.jpg 355.jpg 158.jpg 1054.jpg 1507.jpg 1147.jpg 80.jpg 14.jpg 201.jpg 200.jpg 1143.jpg 392.jpg
2.txt,1183.jpg 838.jpg 1471.jpg 634.jpg 42.jpg 598.jpg 1724.jpg 696.jpg 511.jpg 159.jpg 1292.jpg 445.jpg 1033.jpg 1421.jpg 1084.jpg 372.jpg 1716.jpg 184.jpg 1651.jpg 1840.jpg
3.txt,1514.jpg 469.jpg 1765.jpg 26.jpg 235.jpg 1126.jpg 960.jpg 506.jpg 1215.jpg 1362.jpg 1009.jpg 1778.jpg 1112.jpg 207.jpg 1922.jpg 941.jpg 471.jpg 1210.jpg 1415.jpg 770.jpg
4.txt,305.jpg 1243.jpg 1980.jpg 870.jpg 105.jpg 1380.jpg 1850.jpg 1231.jpg 1411.jpg 912.jpg 1992.jpg 732.jpg 872.jpg 256.jpg 68.jpg 1883.jpg 1682.jpg 669.jpg 698.jpg 608.jpg
5.txt,846.jpg 1913.jpg 1118.jpg 413.jpg 1882.jpg 1700.jpg 1594.jpg 82.jpg 1296.jpg 127.jpg 998.jpg 1429.jpg 1355.jpg 554.jpg 1789.jpg 1533.jpg 492.jpg 124.jpg 370.jpg 1630.jpg
6.txt,1944.jpg 1855.jpg 1377.jpg 1940.jpg 897.jpg 1122.jpg 1009.jpg 1275.jpg 1790.jpg 1288.jpg 655.jpg 1660.jpg 262.jpg 1540.jpg 1151.jpg 486.jpg 996.jpg 1815.jpg 1311.jpg 718.jpg
7.txt,1904.jpg 364.jpg 20.jpg 1203.jpg 1400.jpg 1258.jpg 263.jpg 670.jpg 760.jpg 1123.jpg 725.jpg 1363.jpg 321.jpg 1479.jpg 10.jpg 1501.jpg 577.jpg 1254.jpg 614.jpg 1430.jpg
8.txt,1004.jpg 923.jpg 1261.jpg 1031.jpg 1896.jpg 719.jpg 1600.jpg 343.jpg 1847.jpg 1389.jpg 266.jpg 419.jpg 1644.jpg 781.jpg 1179.jpg 848.jpg 679.jpg 406.jpg 539.jpg 472.jpg
9.txt,351.jpg 1321.jpg 1700.jpg 1145.jpg 249.jpg 600.jpg 825.jpg 1118.jpg 1818.jpg 940.jpg 1651.jpg 1191.jpg 218.jpg 1889.jpg 393.jpg 1265.jpg 1248.jpg 955.jpg 120.jpg 514.jpg
10.txt,1471.jpg 42.jpg 634.jpg 1084.jpg 511.jpg 260.jpg 1033.jpg 1499.jpg 1482.jpg 1421.jpg 649.jpg 696.jpg 979.jpg 838.jpg 184.jpg 765.jpg 1183.jpg 322.jpg 1366.jpg 1665.jpg
11.txt,1254.jpg 51.jpg 1384.jpg 1446.jpg 1402.jpg 132.jpg 643.jpg 760.jpg 614.jpg 475.jpg 1862.jpg 1088.jpg 526.jpg 846.jpg 1292.jpg 1426.jpg 1882.jpg 1510.jpg 1693.jpg 1335.jpg
12.txt,1768.jpg 304.jpg 1948.jpg 1885.jpg 805.jpg 1995.jpg 1517.jpg 1397.jpg 1430.jpg 986.jpg 221.jpg 712.jpg 555.jpg 1258.jpg 1151.jpg 358.jpg 472.jpg 1583.jpg 458.jpg 1765.jpg
13.txt,1470.jpg 1944.jpg 1655.jpg 996.jpg 1311.jpg 1275.jpg 897.jpg 535.jpg 1734.jpg 1584.jpg 262.jpg 1758.jpg 1377.jpg 1122.jpg 1540.jpg 582.jpg 1009.jpg 977.jpg 1940.jpg 1458.jpg
14.txt,217.jpg 1311.jpg 262.jpg 996.jpg 897.jpg 1758.jpg 1289.jpg 535.jpg 910.jpg 1275.jpg 1940.jpg 1151.jpg 655.jpg 1333.jpg 623.jpg 1584.jpg 1377.jpg 414.jpg 1312.jpg 1458.jpg
15.txt,1369.jpg 247.jpg 1839.jpg 198.jpg 1141.jpg 149.jpg 1507.jpg 668.jpg 738.jpg 1184.jpg 107.jpg 1999.jpg 482.jpg 1308.jpg 1192.jpg 80.jpg 1477.jpg 1102.jpg 6.jpg 1615.jpg
16.txt,68.jpg 1224.jpg 1082.jpg 1610.jpg 808.jpg 1243.jpg 1231.jpg 1416.jpg 1698.jpg 416.jpg 46.jpg 1018.jpg 1127.jpg 305.jpg 670.jpg 358.jpg 37.jpg 1736.jpg 1088.jpg 604.jpg
17.txt,1487.jpg 600.jpg 561.jpg 523.jpg 496.jpg 607.jpg 1962.jpg 953.jpg 445.jpg 1739.jpg 1027.jpg 904.jpg 476.jpg 1183.jpg 879.jpg 338.jpg 1144.jpg 823.jpg 1292.jpg 1040.jpg
18.txt,764.jpg 1279.jpg 417.jpg 427.jpg 670.jpg 172.jpg 1035.jpg 577.jpg 1315.jpg 951.jpg 654.jpg 1450.jpg 725.jpg 75.jpg 661.jpg 1463.jpg 1819.jpg 1513.jpg 1791.jpg 134.jpg
19.txt,275.jpg 933.jpg 1620.jpg 1301.jpg 1189.jpg 573.jpg 1831.jpg 145.jpg 747.jpg 203.jpg 1418.jpg 636.jpg 1318.jpg 1128.jpg 1187.jpg 207.jpg 267.jpg 1207.jpg 1162.jpg 1430.jpg
